Individual name	Pedigree name	Age	Brood Year	Capture Location (4)	Collected By	Collection Year	Comment	Date Collected	Fork Length (mm)	Hatchery / Wild	HOR / NOR assignment	Latitude	Life History Stage	Longitude	Phenotypic sex	PIT Tag	Population ID	Preservation Method	Project number	Received From	Region (1)	Resident / Anadromous	Run Type	Spawn Date	Spawn Year	Spawned with	Species	Synonym 1	Synonym 2	Synonym 3	Tissue Type	Total Length (mm)	Tributary (3)	Used for broodstock	Watershed (2)	Weight (g)
420-001	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-002	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-003	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-004	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-005	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-006	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-007	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-008	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-009	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-010	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-011	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-012	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-013	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-014	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-015	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-016	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-017	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-018	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-019	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-020	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-021	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-022	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-023	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-024	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-025	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-026	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-027	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-028	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-029	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-030	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-031	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-032	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-033	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-034	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-035	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-036	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-037	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-038	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-039	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-040	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-041	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
420-042	420			Santa Ynez	Glen Greenwald	2000												Ethanol									Oncorhynchus mykiss				Fin Clip					
765-001	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_001			Fin Clip				Deschutes River	
765-002	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_002			Fin Clip				Deschutes River	
765-003	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_003			Fin Clip				Deschutes River	
765-004	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_004			Fin Clip				Deschutes River	
765-005	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_005			Fin Clip				Deschutes River	
765-006	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_006			Fin Clip				Deschutes River	
765-007	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_007			Fin Clip				Deschutes River	
765-008	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_008			Fin Clip				Deschutes River	
765-009	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_009			Fin Clip				Deschutes River	
765-010	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_010			Fin Clip				Deschutes River	
765-011	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_011			Fin Clip				Deschutes River	
765-012	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_012			Fin Clip				Deschutes River	
765-013	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_013			Fin Clip				Deschutes River	
765-014	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_014			Fin Clip				Deschutes River	
765-015	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_015			Fin Clip				Deschutes River	
765-016	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_016			Fin Clip				Deschutes River	
765-017	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_017			Fin Clip				Deschutes River	
765-018	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_018			Fin Clip				Deschutes River	
765-019	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_019			Fin Clip				Deschutes River	
765-020	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_020			Fin Clip				Deschutes River	
765-021	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_021			Fin Clip				Deschutes River	
765-022	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_022			Fin Clip				Deschutes River	
765-023	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_023			Fin Clip				Deschutes River	
765-024	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_024			Fin Clip				Deschutes River	
765-025	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_025			Fin Clip				Deschutes River	
765-026	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_026			Fin Clip				Deschutes River	
765-027	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_027			Fin Clip				Deschutes River	
765-028	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_028			Fin Clip				Deschutes River	
765-029	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_029			Fin Clip				Deschutes River	
765-030	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_030			Fin Clip				Deschutes River	
765-031	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_031			Fin Clip				Deschutes River	
765-032	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_032			Fin Clip				Deschutes River	
765-033	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_033			Fin Clip				Deschutes River	
765-034	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_034			Fin Clip				Deschutes River	
765-035	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_035			Fin Clip				Deschutes River	
765-036	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_036			Fin Clip				Deschutes River	
765-037	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_037			Fin Clip				Deschutes River	
765-038	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_038			Fin Clip				Deschutes River	
765-039	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_039			Fin Clip				Deschutes River	
765-040	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_040			Fin Clip				Deschutes River	
765-041	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_041			Fin Clip				Deschutes River	
