PedigreeName	IndividualName	FieldID1	Stream	WildorHat?	TissueType	SpeciesID	DateSampled	Length mm	LengthFork1	Weight	CaptureMethod	SamplerName	Gender	LH Stage	Comments
OmyAC19SFCR	OmyAC19SFCR_0001	001	South Fork Crooked River		Caudal fin	95	4/30/2019	167	16.7	50	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0002	002	South Fork Crooked River		Caudal fin	95	4/30/2019	265	26.5	216	Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0003	003	Paulina Creek	NOR	Caudal fin	787	7/2/2019	184	18.4		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0004	004	Paulina Creek	NOR	Caudal fin	787	7/2/2019	235	23.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0005	005	Paulina Creek	NOR	Caudal fin	787	7/2/2019	110	11		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0006	006	Paulina Creek	NOR	Caudal fin	787	7/2/2019	105	10.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0007	007	Paulina Creek	NOR	Caudal fin	787	7/2/2019	210	21		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0008	008	Paulina Creek	NOR	Caudal fin	787	7/2/2019	225	22.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0009	009	Paulina Creek	NOR	Caudal fin	787	7/2/2019	110	11		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0010	010	Paulina Creek	NOR	Caudal fin	787	7/2/2019	125	12.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0011	011	Paulina Creek	NOR	Caudal fin	787	7/2/2019	185	18.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0012	012	Paulina Creek	NOR	Caudal fin	787	7/2/2019	160	16		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0013	013	Paulina Creek	NOR	Caudal fin	787	7/2/2019	120	12		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0014	014	Paulina Creek	NOR	Caudal fin	787	7/2/2019	85	8.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0015	015	Paulina Creek	NOR	Caudal fin	787	7/2/2019	100	10		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0016	016	Paulina Creek	NOR	Caudal fin	787	7/2/2019	215	21.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0017	017	Paulina Creek	NOR	Caudal fin	787	7/2/2019	250	25		Backpack e-fishing	Tim Porter			
