pop	clust1	clust2
1	0.994	0.006	
1	0.959	0.041	
1	0.989	0.011	
1	0.991	0.009	
1	0.990	0.010	
1	0.990	0.010	
1	0.993	0.007	
1	0.996	0.004	
1	0.995	0.005	
1	0.992	0.008	
1	0.976	0.024	
1	0.968	0.032	
1	0.995	0.005	
1	0.995	0.005	
1	0.993	0.007	
1	0.994	0.006	
1	0.994	0.006	
1	0.941	0.059	
1	0.995	0.005	
1	0.995	0.005	
1	0.984	0.016	
1	0.990	0.010	
1	0.996	0.004	
1	0.995	0.005	
1	0.977	0.023	
1	0.991	0.009	
1	0.995	0.005	
1	0.994	0.006	
1	0.995	0.005	
1	0.995	0.005	
1	0.989	0.011	
1	0.989	0.011	
1	0.996	0.004	
1	0.996	0.004	
1	0.993	0.007	
2	0.049	0.951	
2	0.045	0.955	
3	0.580	0.420	
3	0.490	0.510	
3	0.564	0.436	
3	0.418	0.582	
3	0.474	0.526	
2	0.008	0.992	
2	0.432	0.568	
2	0.010	0.990	
2	0.018	0.982	
2	0.153	0.847	
2	0.351	0.649	
2	0.350	0.650	
2	0.007	0.993	
2	0.020	0.980	
3	0.576	0.424	
3	0.548	0.452	
3	0.550	0.450	
3	0.402	0.598	
3	0.643	0.357	
3	0.601	0.399	
3	0.477	0.523	
3	0.364	0.636	
3	0.493	0.507	
3	0.529	0.471	
3	0.478	0.522	
3	0.517	0.483	
3	0.748	0.252	
3	0.699	0.301	
3	0.647	0.353	
3	0.555	0.445	
3	0.513	0.487	
3	0.656	0.344	
3	0.558	0.442	
3	0.639	0.361	
3	0.569	0.431	
3	0.541	0.459	
3	0.563	0.437	
3	0.497	0.503	
3	0.494	0.506	
3	0.462	0.538	
3	0.595	0.405	
3	0.520	0.480	
3	0.497	0.503	
3	0.500	0.500	
3	0.466	0.534	
3	0.557	0.443	
3	0.587	0.413	
3	0.497	0.503	
3	0.386	0.614	
3	0.536	0.464	
2	0.007	0.993	
2	0.012	0.988	
2	0.009	0.991	
2	0.188	0.812	
2	0.015	0.985	
2	0.006	0.994	
4	0.017	0.983	
4	0.015	0.985	
4	0.026	0.974	
4	0.070	0.930	
4	0.033	0.967	
4	0.055	0.945	
4	0.021	0.979	
4	0.023	0.977	
4	0.007	0.993	
4	0.055	0.945	
4	0.019	0.981	
4	0.012	0.988	
4	0.038	0.962	
4	0.007	0.993	
4	0.029	0.971	
4	0.089	0.911	
4	0.010	0.990	
4	0.056	0.944	
4	0.022	0.978	
4	0.013	0.987	
4	0.006	0.994	
4	0.017	0.983	
4	0.044	0.956	
4	0.066	0.934	
4	0.022	0.978	
4	0.112	0.888	
4	0.020	0.980	
4	0.090	0.910	
4	0.023	0.977	
4	0.011	0.989	
4	0.037	0.963	
4	0.058	0.942	
4	0.046	0.954	
4	0.024	0.976
