pop	clust1	clust2	clust3
1	0.003	0.995	0.001	
1	0.011	0.981	0.008	
1	0.002	0.997	0.002	
1	0.003	0.995	0.002	
1	0.002	0.995	0.003	
1	0.004	0.994	0.003	
1	0.001	0.997	0.001	
1	0.006	0.993	0.001	
1	0.003	0.996	0.001	
1	0.005	0.994	0.002	
1	0.023	0.970	0.006	
1	0.010	0.982	0.008	
1	0.001	0.998	0.001	
1	0.002	0.997	0.001	
1	0.002	0.996	0.002	
1	0.003	0.996	0.001	
1	0.014	0.986	0.001	
1	0.031	0.948	0.021	
1	0.002	0.997	0.001	
1	0.004	0.995	0.001	
1	0.002	0.996	0.002	
1	0.004	0.995	0.001	
1	0.003	0.997	0.001	
1	0.002	0.997	0.001	
1	0.003	0.992	0.005	
1	0.001	0.998	0.001	
1	0.001	0.998	0.001	
1	0.005	0.994	0.001	
1	0.002	0.997	0.001	
1	0.001	0.998	0.001	
1	0.002	0.996	0.002	
1	0.003	0.995	0.002	
1	0.001	0.998	0.001	
1	0.002	0.997	0.001	
1	0.002	0.996	0.002	
2	0.096	0.008	0.895	
2	0.005	0.014	0.981	
3	0.995	0.004	0.001	
3	0.865	0.090	0.046	
3	0.695	0.208	0.097	
3	0.833	0.014	0.153	
3	0.937	0.008	0.055	
2	0.003	0.001	0.996	
2	0.914	0.010	0.076	
2	0.003	0.002	0.995	
2	0.006	0.002	0.993	
2	0.300	0.010	0.690	
2	0.628	0.023	0.350	
2	0.569	0.020	0.411	
2	0.006	0.001	0.992	
2	0.010	0.003	0.988	
3	0.973	0.023	0.004	
3	0.875	0.109	0.017	
3	0.983	0.006	0.011	
3	0.777	0.038	0.185	
3	0.982	0.017	0.001	
3	0.781	0.212	0.007	
3	0.989	0.006	0.005	
3	0.724	0.007	0.269	
3	0.995	0.003	0.003	
3	0.993	0.005	0.003	
3	0.989	0.004	0.007	
3	0.989	0.008	0.003	
3	0.527	0.471	0.002	
3	0.559	0.437	0.004	
3	0.582	0.391	0.028	
3	0.734	0.203	0.063	
3	0.992	0.005	0.003	
3	0.224	0.555	0.221	
3	0.994	0.004	0.002	
3	0.991	0.007	0.002	
3	0.982	0.016	0.002	
3	0.988	0.007	0.005	
3	0.986	0.008	0.006	
3	0.986	0.010	0.005	
3	0.987	0.003	0.010	
3	0.986	0.007	0.007	
3	0.981	0.016	0.003	
3	0.989	0.005	0.006	
3	0.992	0.006	0.002	
3	0.988	0.007	0.005	
3	0.955	0.005	0.040	
3	0.980	0.014	0.006	
3	0.988	0.010	0.002	
3	0.991	0.006	0.003	
3	0.863	0.004	0.133	
3	0.954	0.024	0.022	
2	0.002	0.001	0.996	
2	0.006	0.003	0.992	
2	0.003	0.001	0.996	
2	0.511	0.002	0.486	
2	0.006	0.002	0.991	
2	0.002	0.001	0.997	
4	0.002	0.003	0.995	
4	0.007	0.003	0.991	
4	0.009	0.002	0.989	
4	0.025	0.014	0.961	
4	0.029	0.007	0.964	
4	0.010	0.008	0.983	
4	0.007	0.004	0.989	
4	0.006	0.004	0.990	
4	0.001	0.002	0.997	
4	0.016	0.012	0.972	
4	0.020	0.002	0.977	
4	0.003	0.002	0.995	
4	0.009	0.007	0.984	
4	0.002	0.002	0.996	
4	0.010	0.004	0.986	
4	0.004	0.030	0.966	
4	0.004	0.001	0.994	
4	0.010	0.014	0.976	
4	0.008	0.003	0.988	
4	0.002	0.002	0.995	
4	0.002	0.001	0.997	
4	0.002	0.002	0.996	
4	0.044	0.009	0.947	
4	0.006	0.017	0.978	
4	0.005	0.002	0.993	
4	0.008	0.025	0.968	
4	0.013	0.003	0.984	
4	0.009	0.013	0.977	
4	0.005	0.003	0.992	
4	0.001	0.002	0.997	
4	0.010	0.006	0.984	
4	0.014	0.013	0.972	
4	0.010	0.006	0.984	
4	0.004	0.004	0.992	
