pop	clust1	clust2	clust3	clust4
1	0.001	0.001	0.002	0.996	
1	0.008	0.007	0.007	0.978	
1	0.002	0.001	0.002	0.996	
1	0.002	0.002	0.005	0.991	
1	0.002	0.001	0.003	0.993	
1	0.001	0.002	0.002	0.995	
1	0.001	0.001	0.001	0.997	
1	0.001	0.003	0.003	0.994	
1	0.001	0.001	0.001	0.997	
1	0.002	0.002	0.004	0.992	
1	0.003	0.074	0.013	0.910	
1	0.005	0.004	0.006	0.985	
1	0.001	0.003	0.001	0.995	
1	0.001	0.002	0.002	0.995	
1	0.001	0.001	0.001	0.997	
1	0.001	0.006	0.002	0.990	
1	0.001	0.002	0.010	0.988	
1	0.018	0.004	0.026	0.952	
1	0.001	0.003	0.003	0.994	
1	0.001	0.002	0.001	0.996	
1	0.003	0.002	0.004	0.991	
1	0.002	0.002	0.004	0.992	
1	0.001	0.001	0.001	0.997	
1	0.001	0.002	0.001	0.996	
1	0.005	0.002	0.004	0.989	
1	0.001	0.002	0.001	0.995	
1	0.001	0.001	0.002	0.996	
1	0.001	0.004	0.003	0.992	
1	0.001	0.001	0.002	0.996	
1	0.001	0.001	0.001	0.998	
1	0.001	0.003	0.002	0.994	
1	0.001	0.003	0.002	0.994	
1	0.001	0.001	0.001	0.998	
1	0.001	0.001	0.001	0.997	
1	0.001	0.002	0.002	0.995	
2	0.859	0.002	0.135	0.004	
2	0.983	0.002	0.006	0.008	
3	0.001	0.092	0.903	0.004	
3	0.003	0.002	0.980	0.014	
3	0.008	0.003	0.917	0.072	
3	0.039	0.005	0.954	0.002	
3	0.023	0.181	0.791	0.005	
2	0.997	0.001	0.002	0.001	
2	0.023	0.029	0.936	0.012	
2	0.993	0.002	0.003	0.002	
2	0.989	0.003	0.005	0.003	
2	0.713	0.097	0.185	0.006	
2	0.266	0.002	0.730	0.002	
2	0.393	0.008	0.596	0.003	
2	0.989	0.002	0.009	0.001	
2	0.978	0.012	0.008	0.003	
3	0.003	0.032	0.956	0.008	
3	0.004	0.001	0.971	0.025	
3	0.003	0.007	0.987	0.003	
3	0.042	0.004	0.947	0.007	
3	0.001	0.995	0.002	0.003	
3	0.004	0.005	0.884	0.108	
3	0.004	0.023	0.969	0.004	
3	0.103	0.005	0.890	0.002	
3	0.001	0.996	0.002	0.001	
3	0.001	0.996	0.001	0.002	
3	0.003	0.017	0.977	0.004	
3	0.002	0.010	0.979	0.009	
3	0.002	0.002	0.537	0.459	
3	0.004	0.002	0.581	0.413	
3	0.003	0.001	0.693	0.303	
3	0.011	0.026	0.808	0.155	
3	0.001	0.997	0.002	0.001	
3	0.030	0.001	0.564	0.406	
3	0.001	0.989	0.006	0.004	
3	0.001	0.989	0.004	0.006	
3	0.002	0.993	0.001	0.004	
3	0.005	0.304	0.688	0.004	
3	0.002	0.001	0.993	0.004	
3	0.003	0.002	0.991	0.004	
3	0.004	0.002	0.992	0.002	
3	0.008	0.023	0.964	0.005	
3	0.002	0.044	0.933	0.021	
3	0.003	0.005	0.988	0.004	
3	0.002	0.009	0.987	0.003	
3	0.003	0.019	0.972	0.007	
3	0.024	0.004	0.965	0.007	
3	0.003	0.016	0.967	0.014	
3	0.001	0.090	0.904	0.005	
3	0.002	0.995	0.001	0.002	
3	0.008	0.002	0.987	0.003	
3	0.008	0.004	0.979	0.010	
2	0.995	0.001	0.002	0.001	
2	0.991	0.003	0.005	0.002	
2	0.995	0.002	0.003	0.001	
2	0.475	0.014	0.509	0.002	
2	0.989	0.005	0.004	0.003	
2	0.996	0.001	0.002	0.001	
4	0.991	0.004	0.003	0.003	
4	0.993	0.002	0.004	0.001	
4	0.975	0.009	0.013	0.002	
4	0.945	0.006	0.041	0.008	
4	0.963	0.006	0.027	0.004	
4	0.981	0.006	0.008	0.005	
4	0.981	0.008	0.007	0.003	
4	0.980	0.002	0.015	0.003	
4	0.994	0.003	0.002	0.001	
4	0.964	0.014	0.013	0.010	
4	0.977	0.015	0.006	0.001	
4	0.994	0.002	0.003	0.002	
4	0.982	0.007	0.007	0.004	
4	0.996	0.002	0.001	0.001	
4	0.982	0.009	0.006	0.004	
4	0.972	0.001	0.006	0.021	
4	0.993	0.004	0.003	0.001	
4	0.974	0.004	0.017	0.006	
4	0.987	0.002	0.007	0.004	
4	0.994	0.002	0.002	0.002	
4	0.996	0.001	0.001	0.001	
4	0.997	0.001	0.001	0.001	
4	0.947	0.007	0.039	0.006	
4	0.974	0.001	0.007	0.018	
4	0.993	0.002	0.002	0.003	
4	0.954	0.005	0.012	0.029	
4	0.982	0.006	0.011	0.001	
4	0.965	0.002	0.008	0.025	
4	0.989	0.007	0.002	0.002	
4	0.997	0.001	0.001	0.001	
4	0.977	0.012	0.007	0.003	
4	0.982	0.006	0.006	0.006	
4	0.969	0.020	0.006	0.005	
4	0.990	0.002	0.004	0.004	
