pop	clust1	clust2	clust3	clust4	clust5
1	0.994	0.001	0.003	0.001	0.001	
1	0.974	0.003	0.008	0.010	0.006	
1	0.995	0.001	0.001	0.001	0.001	
1	0.992	0.001	0.002	0.002	0.002	
1	0.991	0.003	0.002	0.003	0.002	
1	0.993	0.001	0.001	0.002	0.003	
1	0.996	0.001	0.001	0.001	0.001	
1	0.989	0.001	0.003	0.004	0.004	
1	0.994	0.001	0.002	0.001	0.001	
1	0.990	0.001	0.004	0.002	0.003	
1	0.903	0.003	0.010	0.013	0.071	
1	0.966	0.009	0.008	0.015	0.003	
1	0.994	0.001	0.001	0.001	0.003	
1	0.995	0.001	0.001	0.002	0.002	
1	0.995	0.001	0.001	0.001	0.002	
1	0.991	0.001	0.003	0.001	0.003	
1	0.979	0.001	0.006	0.011	0.002	
1	0.937	0.012	0.017	0.031	0.004	
1	0.995	0.000	0.001	0.002	0.002	
1	0.995	0.001	0.001	0.001	0.002	
1	0.990	0.001	0.004	0.003	0.001	
1	0.990	0.001	0.003	0.005	0.001	
1	0.995	0.000	0.001	0.002	0.002	
1	0.995	0.001	0.002	0.001	0.002	
1	0.989	0.004	0.001	0.004	0.002	
1	0.993	0.002	0.001	0.002	0.002	
1	0.996	0.001	0.001	0.001	0.001	
1	0.988	0.001	0.004	0.002	0.005	
1	0.996	0.001	0.001	0.001	0.001	
1	0.996	0.001	0.001	0.001	0.001	
1	0.993	0.002	0.001	0.002	0.001	
1	0.993	0.002	0.002	0.001	0.002	
1	0.996	0.000	0.001	0.001	0.001	
1	0.997	0.000	0.001	0.001	0.001	
1	0.991	0.002	0.002	0.003	0.003	
2	0.003	0.846	0.079	0.069	0.003	
2	0.009	0.981	0.005	0.003	0.002	
3	0.007	0.001	0.893	0.028	0.071	
3	0.013	0.003	0.980	0.003	0.001	
3	0.065	0.006	0.923	0.004	0.003	
3	0.003	0.015	0.963	0.017	0.002	
3	0.005	0.016	0.885	0.005	0.090	
2	0.001	0.995	0.002	0.002	0.001	
2	0.012	0.073	0.237	0.636	0.042	
2	0.002	0.991	0.002	0.004	0.002	
2	0.003	0.983	0.006	0.005	0.002	
2	0.006	0.632	0.325	0.012	0.024	
2	0.004	0.111	0.867	0.014	0.003	
2	0.011	0.421	0.194	0.365	0.009	
2	0.001	0.980	0.010	0.006	0.003	
2	0.003	0.962	0.021	0.004	0.009	
3	0.006	0.004	0.407	0.509	0.074	
3	0.055	0.014	0.097	0.832	0.002	
3	0.004	0.007	0.014	0.965	0.011	
3	0.004	0.044	0.944	0.005	0.003	
3	0.002	0.001	0.002	0.002	0.994	
3	0.089	0.002	0.901	0.003	0.005	
3	0.003	0.001	0.002	0.990	0.004	
3	0.002	0.150	0.739	0.107	0.002	
3	0.001	0.002	0.002	0.001	0.994	
3	0.002	0.001	0.001	0.002	0.994	
3	0.003	0.002	0.974	0.014	0.008	
3	0.004	0.002	0.988	0.004	0.003	
3	0.477	0.002	0.393	0.125	0.003	
3	0.450	0.002	0.353	0.191	0.003	
3	0.311	0.002	0.101	0.585	0.001	
3	0.286	0.039	0.348	0.304	0.023	
3	0.001	0.001	0.002	0.001	0.994	
3	0.394	0.021	0.066	0.517	0.001	
3	0.003	0.002	0.005	0.004	0.986	
3	0.006	0.001	0.002	0.004	0.986	
3	0.005	0.002	0.004	0.002	0.988	
3	0.004	0.002	0.003	0.885	0.106	
3	0.006	0.003	0.013	0.976	0.002	
3	0.006	0.002	0.939	0.050	0.002	
3	0.004	0.003	0.003	0.989	0.002	
3	0.002	0.003	0.001	0.989	0.004	
3	0.023	0.001	0.906	0.008	0.062	
3	0.002	0.002	0.028	0.962	0.005	
3	0.005	0.001	0.981	0.007	0.006	
3	0.004	0.002	0.983	0.004	0.007	
3	0.012	0.022	0.048	0.911	0.007	
3	0.006	0.005	0.006	0.975	0.007	
3	0.006	0.002	0.848	0.033	0.111	
3	0.002	0.001	0.002	0.001	0.994	
3	0.002	0.016	0.973	0.009	0.000	
3	0.013	0.015	0.032	0.935	0.005	
2	0.001	0.995	0.002	0.002	0.001	
2	0.002	0.985	0.004	0.006	0.003	
2	0.002	0.988	0.006	0.002	0.002	
2	0.002	0.504	0.069	0.421	0.004	
2	0.002	0.987	0.003	0.003	0.005	
2	0.001	0.997	0.001	0.001	0.001	
4	0.002	0.991	0.003	0.002	0.002	
4	0.002	0.989	0.003	0.003	0.003	
4	0.003	0.969	0.011	0.007	0.010	
4	0.014	0.937	0.027	0.013	0.009	
4	0.004	0.917	0.056	0.017	0.006	
4	0.004	0.964	0.006	0.018	0.008	
4	0.003	0.979	0.007	0.005	0.007	
4	0.003	0.975	0.005	0.016	0.001	
4	0.001	0.992	0.002	0.003	0.002	
4	0.014	0.969	0.007	0.006	0.005	
4	0.002	0.971	0.006	0.008	0.014	
4	0.002	0.995	0.001	0.001	0.001	
4	0.004	0.971	0.007	0.007	0.011	
4	0.001	0.993	0.001	0.003	0.002	
4	0.004	0.976	0.006	0.005	0.009	
4	0.020	0.965	0.008	0.004	0.002	
4	0.002	0.991	0.002	0.002	0.003	
4	0.008	0.965	0.006	0.017	0.003	
4	0.004	0.983	0.006	0.003	0.004	
4	0.002	0.991	0.003	0.002	0.002	
4	0.001	0.997	0.001	0.001	0.001	
4	0.002	0.994	0.001	0.001	0.001	
4	0.006	0.909	0.039	0.036	0.010	
4	0.019	0.968	0.004	0.006	0.003	
4	0.003	0.990	0.002	0.003	0.002	
4	0.020	0.955	0.011	0.009	0.005	
4	0.001	0.969	0.018	0.008	0.004	
4	0.015	0.969	0.005	0.006	0.005	
4	0.004	0.987	0.002	0.002	0.005	
4	0.001	0.996	0.001	0.001	0.001	
4	0.003	0.965	0.004	0.013	0.016	
4	0.008	0.975	0.005	0.005	0.006	
4	0.004	0.964	0.011	0.005	0.015	
4	0.005	0.986	0.003	0.003	0.002	
